country,university,url,logo
United States,Indiana University Northwest,https://northwest.iu.edu/,Indiana_University_Northwest.png
United States,Indiana University South Bend,https://southbend.iu.edu/,Indiana_University_South_Bend.png
United States,Indiana University Southeast,https://southeast.iu.edu/,Indiana_University_Southeast.png
United States,Indiana University – Purdue University Columbus,https://www.iupuc.edu/,Indiana _University_Purdue_University_Columbus.jpg
United States,Indiana University – Purdue University Indianapolis,https://www.iupui.edu/,Indiana_University_Purdue_University_Indianapolis.png
United States,Indiana State University,https://indianastate.edu/,Indiana_State_University.png
United States,Purdue University,https://www.purdue.edu/,Purdue_University.png
United States,Purdue University Fort Wayne,https://www.pfw.edu/,Purdue_University_Fort_Wayne.png
United States,Purdue University Northwest ,https://www.pnw.edu/,Purdue_University_Northwest.png
United States,University of Southern Indiana,https://www.usi.edu/,University_of_Southern_Indiana.png
United States,Vincennes University ,https://www.vinu.edu/,Vincennes_University.png
United States,University of Iowa,https://uiowa.edu/,University_of_Iowa.png
United States,Iowa State University,https://www.iastate.edu/,Iowa_State_University.png
United States,University of Northern Iowa,https://uni.edu/,University_of_Northern_Iowa.png
United States,Emporia State University,https://www.emporia.edu/,Emporia_State_University.png
United States,Fort Hays State University,https://www.fhsu.edu/,Fort_Hays_State_University.png
United States,University of Kansas,https://www.ku.edu/,University_of_Kansas.png
United States,Kansas State University,https://www.k-state.edu/,Kansas_State_University.png
United States,Pittsburg State University,https://www.pittstate.edu/,Pittsburg_State_University.png
United States,Wichita State University,https://www.wichita.edu/,Wichita_State_University.png
United States,Eastern Kentucky University,https://www.eku.edu/,Eastern_Kentucky_University.png
United States,University of Kentucky,https://www.uky.edu/,University_of_Kentucky.png
United States,Kentucky State University,https://www.kysu.edu/,Kentucky_State_University.png
United States,University of Louisville,https://louisville.edu/,University_of_Louisville.png
United States,Morehead State University,https://www.moreheadstate.edu/,Morehead_State_University.png
United States,Murray State University,https://www.murraystate.edu/,Murray_State_University.png
United States,Northern Kentucky University,https://www.nku.edu/,Northern_Kentucky_University.png
United States,Western Kentucky University,https://www.wku.edu/,Western_Kentucky_University.png
United States,Louisiana State University,https://www.lsu.edu/,Louisiana_State_University.png
United States,Louisiana State University at Eunice,https://www.lsue.edu/,Louisiana_State_University_at_Eunice.jpg
United States,Louisiana State University of Alexandria,https://www.lsua.edu/,Louisiana_State_University_of_Alexandria.png
United States,Louisiana State University in Shreveport,https://www.lsus.edu/,Louisiana_State_University_in_Shreveport.png
